Body Regions;A01
Pyuria;C01.539.895.719
Schistosomiasis haematobia;C01.539.895.775
Wound Infection;C01.539.947
Surgical Wound Infection;C01.539.947.692
Mycoses;C01.703
Blastomycosis;C01.703.128
Candidiasis;C01.703.160
Candidiasis, Chronic Mucocutaneous;C01.703.160.165
Candidiasis, Cutaneous;C01.703.160.170
Candidiasis, Invasive;C01.703.160.175
Candidemia;C01.703.160.175.150
Candidiasis, Oral;C01.703.160.180
Candidiasis, Vulvovaginal;C01.703.160.190
Central Nervous System Fungal Infections;C01.703.181
Meningitis, Fungal;C01.703.181.500
Meningitis, Cryptococcal;C01.703.181.500.500
Coccidioidomycosis;C01.703.203
Cryptococcosis;C01.703.248
Meningitis, Cryptococcal;C01.703.248.290
Dermatomycoses;C01.703.295
Blastomycosis;C01.703.295.055
Candidiasis, Chronic Mucocutaneous;C01.703.295.165
Candidiasis, Cutaneous;C01.703.295.170
Chromoblastomycosis;C01.703.295.182
Hyalohyphomycosis;C01.703.295.328
Aspergillosis;C01.703.295.328.249
Aspergillosis, Allergic Bronchopulmonary;C01.703.295.328.249.074
Fusariosis;C01.703.295.328.500
Lobomycosis;C01.703.295.475
Mycetoma;C01.703.295.522
Paracoccidioidomycosis;C01.703.295.600
Phaeohyphomycosis;C01.703.295.637
Sporotrichosis;C01.703.295.675
Tinea;C01.703.295.872
Onychomycosis;C01.703.295.872.458
Tinea Capitis;C01.703.295.872.541
Tinea Favosa;C01.703.295.872.541.500
Tinea Pedis;C01.703.295.872.707
Tinea Versicolor;C01.703.295.936
Eye Infections, Fungal;C01.703.343
Uveitis, Suppurative;C01.703.343.900
Panophthalmitis;C01.703.343.900.675
Fungemia;C01.703.360
Candidemia;C01.703.360.150
Geotrichosis;C01.703.392
Histoplasmosis;C01.703.450
Hyalohyphomycosis;C01.703.513
Alternariosis;C01.703.513.124
Aspergillosis;C01.703.513.249
Aspergillosis, Allergic Bronchopulmonary;C01.703.513.249.074
Neuroaspergillosis;C01.703.513.249.537
Cerebral Phaeohyphomycosis;C01.703.513.374
Fusariosis;C01.703.513.500
Lung Diseases, Fungal;C01.703.534
Aspergillosis, Allergic Bronchopulmonary;C01.703.534.090
Pneumonia, Pneumocystis;C01.703.534.700
Microsporidiosis;C01.703.617
Encephalitozoonosis;C01.703.617.300
Otomycosis;C01.703.658
Paracoccidioidomycosis;C01.703.700
Phaeohyphomycosis;C01.703.726
Piedra;C01.703.753
Pneumocystis Infections;C01.703.770
Pneumonia, Pneumocystis;C01.703.770.700
Trichosporonosis;C01.703.875
Zygomycosis;C01.703.980
Mucormycosis;C01.703.980.600
Zoonoses;C01.908
Virus Diseases;C02
Arbovirus Infections;C02.081
African Horse Sickness;C02.081.030
Bluetongue;C02.081.125
Dengue;C02.081.270
Severe Dengue;C02.081.270.200
Encephalitis, Arbovirus;C02.081.343
Encephalitis, California;C02.081.343.340
Encephalitis, Japanese;C02.081.343.345
Encephalitis, St. Louis;C02.081.343.350
Encephalitis, Tick-Borne;C02.081.343.360
West Nile Fever;C02.081.343.950
Encephalomyelitis, Equine;C02.081.355
Encephalomyelitis, Eastern Equine;C02.081.355.177
Encephalomyelitis, Venezuelan Equine;C02.081.355.355
Encephalomyelitis, Western Equine;C02.081.355.677
Phlebotomus Fever;C02.081.700
Rift Valley Fever;C02.081.810
Tick-Borne Diseases;C02.081.885
African Swine Fever;C02.081.885.125
Colorado Tick Fever;C02.081.885.200
Encephalitis, Tick-Borne;C02.081.885.400
Hemorrhagic Fever, Crimean;C02.081.885.430
Hemorrhagic Fever, Omsk;C02.081.885.440
Kyasanur Forest Disease;C02.081.885.475
Nairobi Sheep Disease;C02.081.885.550
Yellow Fever;C02.081.980
Bronchiolitis, Viral;C02.109
Central Nervous System Viral Diseases;C02.182
Encephalitis;C02.182.500
Encephalitis, Viral;C02.182.500.300
Encephalitis, Arbovirus;C02.182.500.300.300
Encephalitis, California;C02.182.500.300.300.200
Encephalitis, Japanese;C02.182.500.300.300.250
Encephalitis, St. Louis;C02.182.500.300.300.300
Encephalitis, Tick-Borne;C02.182.500.300.300.350
West Nile Fever;C02.182.500.300.300.850
Encephalitis, Herpes Simplex;C02.182.500.300.350
Encephalitis, Varicella Zoster;C02.182.500.300.400
Encephalomyelitis, Equine;C02.182.500.300.450
Encephalomyelitis, Eastern Equine;C02.182.500.300.450.200
Encephalomyelitis, Venezuelan Equine;C02.182.500.300.450.250
Encephalomyelitis, Western Equine;C02.182.500.300.450.300
Leukoencephalopathy, Progressive Multifocal;C02.182.500.300.500
Subacute Sclerosing Panencephalitis;C02.182.500.300.600
Meningitis, Viral;C02.182.550
Lymphocytic Choriomeningitis;C02.182.550.500
Meningitis, Aseptic;C02.182.550.600
Myelitis;C02.182.600
Paraparesis, Tropical Spastic;C02.182.600.600
Poliomyelitis;C02.182.600.700
Poliomyelitis, Bulbar;C02.182.600.700.600
Postpoliomyelitis Syndrome;C02.182.600.700.800
Poliomyelitis;C02.182.700
Pseudorabies;C02.182.710
Coinfection;C02.219
DNA Virus Infections;C02.256
Adenoviridae Infections;C02.256.076
Adenovirus Infections, Human;C02.256.076.045
Hepatitis, Infectious Canine;C02.256.076.381
African Swine Fever;C02.256.142
Circoviridae Infections;C02.256.200
Porcine Postweaning Multisystemic Wasting Syndrome;C02.256.200.500
Hepadnaviridae Infections;C02.256.430
Hepatitis B;C02.256.430.400
Hepatitis B, Chronic;C02.256.430.400.100
Herpesviridae Infections;C02.256.466
Bell Palsy;C02.256.466.087
Chickenpox;C02.256.466.175
Cytomegalovirus Infections;C02.256.466.245
Cytomegalovirus Retinitis;C02.256.466.245.150
Encephalitis, Herpes Simplex;C02.256.466.262
Encephalitis, Varicella Zoster;C02.256.466.279
Epstein-Barr Virus Infections;C02.256.466.313
Burkitt Lymphoma;C02.256.466.313.165
Infectious Mononucleosis;C02.256.466.313.400
Leukoplakia, Hairy;C02.256.466.313.500
Herpes Simplex;C02.256.466.382
Herpes Genitalis;C02.256.466.382.290
Herpes Labialis;C02.256.466.382.316
Kaposi Varicelliform Eruption;C02.256.466.382.410
Keratitis, Herpetic;C02.256.466.382.465
Keratitis, Dendritic;C02.256.466.382.465.450
Stomatitis, Herpetic;C02.256.466.382.834
Herpes Zoster;C02.256.466.423
Herpes Zoster Ophthalmicus;C02.256.466.423.466
Herpes Zoster Oticus;C02.256.466.423.733
Zoster Sine Herpete;C02.256.466.423.970
Infectious Bovine Rhinotracheitis;C02.256.466.488
Malignant Catarrh;C02.256.466.606
Marek Disease;C02.256.466.650
Pseudorabies;C02.256.466.793
Roseolovirus Infections;C02.256.466.850
Exanthema Subitum;C02.256.466.850.290
Sarcoma, Kaposi;C02.256.466.860
Papillomavirus Infections;C02.256.650
Warts;C02.256.650.810
Condylomata Acuminata;C02.256.650.810.217
Buschke-Lowenstein Tumor;C02.256.650.810.217.500
Epidermodysplasia Verruciformis;C02.256.650.810.345
Parvoviridae Infections;C02.256.700
Aleutian Mink Disease;C02.256.700.091
Erythema Infectiosum;C02.256.700.300
Feline Panleukopenia;C02.256.700.363
Mink Viral Enteritis;C02.256.700.550
Polyomavirus Infections;C02.256.721
Carcinoma, Merkel Cell;C02.256.721.150
Leukoencephalopathy, Progressive Multifocal;C02.256.721.500
Poxviridae Infections;C02.256.743
Cowpox;C02.256.743.175
Ecthyma, Contagious;C02.256.743.193
Ectromelia, Infectious;C02.256.743.239
Fowlpox;C02.256.743.366
Lumpy Skin Disease;C02.256.743.494
Molluscum Contagiosum;C02.256.743.611
Monkeypox;C02.256.743.615
Myxomatosis, Infectious;C02.256.743.665
Smallpox;C02.256.743.826
Vaccinia;C02.256.743.929
Encephalitis, Viral;C02.290
Encephalitis, Arbovirus;C02.290.310
Encephalitis, California;C02.290.310.140
Encephalitis, Japanese;C02.290.310.280
Encephalitis, St. Louis;C02.290.310.406
Encephalitis, Tick-Borne;C02.290.310.530
West Nile Fever;C02.290.310.950
Encephalitis, Herpes Simplex;C02.290.325
Encephalitis, Varicella Zoster;C02.290.355
Encephalomyelitis, Equine;C02.290.450
Encephalomyelitis, Eastern Equine;C02.290.450.200
Encephalomyelitis, Venezuelan Equine;C02.290.450.225
Encephalomyelitis, Western Equine;C02.290.450.250
Leukoencephalopathy, Progressive Multifocal;C02.290.575
Subacute Sclerosing Panencephalitis;C02.290.700
Eye Infections, Viral;C02.325
Conjunctivitis, Viral;C02.325.250
Conjunctivitis, Acute Hemorrhagic;C02.325.250.250
Cytomegalovirus Retinitis;C02.325.270
Herpes Zoster Ophthalmicus;C02.325.450
Keratitis, Herpetic;C02.325.465
Keratitis, Dendritic;C02.325.465.450
Fatigue Syndrome, Chronic;C02.330
Hepatitis, Viral, Animal;C02.407
Hepatitis, Infectious Canine;C02.407.432
Rift Valley Fever;C02.407.810
Hepatitis, Viral, Human;C02.440
Hepatitis A;C02.440.420
Hepatitis B;C02.440.435
Hepatitis B, Chronic;C02.440.435.100
Hepatitis C;C02.440.440
Hepatitis C, Chronic;C02.440.440.120
Hepatitis D;C02.440.450
Hepatitis D, Chronic;C02.440.450.100
Hepatitis E;C02.440.470
Meningitis, Viral;C02.587
Lymphocytic Choriomeningitis;C02.587.580
Meningitis, Aseptic;C02.587.600
Opportunistic Infections;C02.597
AIDS-Related Opportunistic Infections;C02.597.050
Superinfection;C02.597.880
Pneumonia, Viral;C02.705
RNA Virus Infections;C02.782
Arenaviridae Infections;C02.782.082
Hemorrhagic Fever, American;C02.782.082.440
Lassa Fever;C02.782.082.545
Lymphocytic Choriomeningitis;C02.782.082.580
Astroviridae Infections;C02.782.105
Birnaviridae Infections;C02.782.123
Bunyaviridae Infections;C02.782.147
Encephalitis, California;C02.782.147.340
Hantavirus Infections;C02.782.147.420
Hantavirus Pulmonary Syndrome;C02.782.147.420.380
Hemorrhagic Fever with Renal Syndrome;C02.782.147.420.400
Hemorrhagic Fever, Crimean;C02.782.147.444
Nairobi Sheep Disease;C02.782.147.633
Phlebotomus Fever;C02.782.147.700
Rift Valley Fever;C02.782.147.810
Caliciviridae Infections;C02.782.160
Vesicular Exanthema of Swine;C02.782.160.927
Encephalitis, Arbovirus;C02.782.310
Encephalitis, California;C02.782.310.340
Encephalitis, Japanese;C02.782.310.345
Encephalitis, St. Louis;C02.782.310.350
Encephalitis, Tick-Borne;C02.782.310.360
West Nile Fever;C02.782.310.950
Flaviviridae Infections;C02.782.350
Flavivirus Infections;C02.782.350.250
Dengue;C02.782.350.250.214
Severe Dengue;C02.782.350.250.214.200
Encephalitis, Japanese;C02.782.350.250.300
Encephalitis, St. Louis;C02.782.350.250.450
Encephalitis, Tick-Borne;C02.782.350.250.500
Hemorrhagic Fever, Omsk;C02.782.350.250.560
Kyasanur Forest Disease;C02.782.350.250.635
Louping Ill;C02.782.350.250.650
West Nile Fever;C02.782.350.250.900
Yellow Fever;C02.782.350.250.980
Hepatitis C;C02.782.350.350
Hepatitis C, Chronic;C02.782.350.350.120
Pestivirus Infections;C02.782.350.675
Border Disease;C02.782.350.675.100
Bovine Virus Diarrhea-Mucosal Disease;C02.782.350.675.106
Classical Swine Fever;C02.782.350.675.200
Hemorrhagic Syndrome, Bovine;C02.782.350.675.400
Hemorrhagic Fevers, Viral;C02.782.417
Dengue;C02.782.417.214
Severe Dengue;C02.782.417.214.200
Hemorrhagic Fever, American;C02.782.417.400
Hemorrhagic Fever, Crimean;C02.782.417.412
Hemorrhagic Fever, Ebola;C02.782.417.415
Hemorrhagic Fever, Omsk;C02.782.417.435
Hemorrhagic Fever with Renal Syndrome;C02.782.417.450
Kyasanur Forest Disease;C02.782.417.475
Lassa Fever;C02.782.417.505
Marburg Virus Disease;C02.782.417.560
Rift Valley Fever;C02.782.417.762
Yellow Fever;C02.782.417.881
Hepatitis D;C02.782.450
Hepatitis D, Chronic;C02.782.450.100
Hepatitis E;C02.782.455
Mononegavirales Infections;C02.782.580
Borna Disease;C02.782.580.124
Filoviridae Infections;C02.782.580.250
Hemorrhagic Fever, Ebola;C02.782.580.250.400
Marburg Virus Disease;C02.782.580.250.500
Paramyxoviridae Infections;C02.782.580.600
Avulavirus Infections;C02.782.580.600.080
Newcastle Disease;C02.782.580.600.080.600
Henipavirus Infections;C02.782.580.600.400
Morbillivirus Infections;C02.782.580.600.500
Distemper;C02.782.580.600.500.285
Measles;C02.782.580.600.500.500
Subacute Sclerosing Panencephalitis;C02.782.580.600.500.500.800
Peste-des-Petits-Ruminants;C02.782.580.600.500.600
Rinderpest;C02.782.580.600.500.700
Respirovirus Infections;C02.782.580.600.600
Pasteurellosis, Pneumonic;C02.782.580.600.600.648
Pneumovirus Infections;C02.782.580.600.620
Respiratory Syncytial Virus Infections;C02.782.580.600.620.750
Rubulavirus Infections;C02.782.580.600.680
Mumps;C02.782.580.600.680.500
Rhabdoviridae Infections;C02.782.580.830
Ephemeral Fever;C02.782.580.830.375
Hemorrhagic Septicemia, Viral;C02.782.580.830.450
Rabies;C02.782.580.830.750
Vesicular Stomatitis;C02.782.580.830.825
Nidovirales Infections;C02.782.600
Arterivirus Infections;C02.782.600.100
Porcine Reproductive and Respiratory Syndrome;C02.782.600.100.700
Coronaviridae Infections;C02.782.600.550
Coronavirus Infections;C02.782.600.550.200
Enteritis, Transmissible, of Turkeys;C02.782.600.550.200.325
Feline Infectious Peritonitis;C02.782.600.550.200.360
Gastroenteritis, Transmissible, of Swine;C02.782.600.550.200.400
Severe Acute Respiratory Syndrome;C02.782.600.550.200.750
Torovirus Infections;C02.782.600.550.800
Orthomyxoviridae Infections;C02.782.620
Influenza, Human;C02.782.620.365
Influenza in Birds;C02.782.620.375
Picornaviridae Infections;C02.782.687
Cardiovirus Infections;C02.782.687.150
Common Cold;C02.782.687.207
Enterovirus Infections;C02.782.687.359
Conjunctivitis, Acute Hemorrhagic;C02.782.687.359.201
Coxsackievirus Infections;C02.782.687.359.213
Conjunctivitis, Acute Hemorrhagic;C02.782.687.359.213.165
Hand, Foot and Mouth Disease;C02.782.687.359.213.331
Herpangina;C02.782.687.359.213.466
Pleurodynia, Epidemic;C02.782.687.359.213.737
Echovirus Infections;C02.782.687.359.347
Encephalomyelitis, Enzootic Porcine;C02.782.687.359.456
Hepatitis A;C02.782.687.359.500
Poliomyelitis;C02.782.687.359.764
Poliomyelitis, Bulbar;C02.782.687.359.764.614
Postpoliomyelitis Syndrome;C02.782.687.359.764.650
Swine Vesicular Disease;C02.782.687.359.855
Foot-and-Mouth Disease;C02.782.687.484
Reoviridae Infections;C02.782.791
African Horse Sickness;C02.782.791.142
Bluetongue;C02.782.791.315
Colorado Tick Fever;C02.782.791.482
Rotavirus Infections;C02.782.791.814
Retroviridae Infections;C02.782.815
Avian Leukosis;C02.782.815.096
Deltaretrovirus Infections;C02.782.815.200
Enzootic Bovine Leukosis;C02.782.815.200.260
HTLV-I Infections;C02.782.815.200.470
Paraparesis, Tropical Spastic;C02.782.815.200.470.710
HTLV-II Infections;C02.782.815.200.480
Lentivirus Infections;C02.782.815.616
Equine Infectious Anemia;C02.782.815.616.300
Feline Acquired Immunodeficiency Syndrome;C02.782.815.616.350
HIV Infections;C02.782.815.616.400
Acquired Immunodeficiency Syndrome;C02.782.815.616.400.040
AIDS Arteritis, Central Nervous System;C02.782.815.616.400.048
AIDS-Associated Nephropathy;C02.782.815.616.400.050
AIDS Dementia Complex;C02.782.815.616.400.070
AIDS-Related Complex;C02.782.815.616.400.080
AIDS-Related Opportunistic Infections;C02.782.815.616.400.100
HIV-Associated Lipodystrophy Syndrome;C02.782.815.616.400.400
HIV Enteropathy;C02.782.815.616.400.480
HIV Seropositivity;C02.782.815.616.400.500
HIV Wasting Syndrome;C02.782.815.616.400.520
Pneumonia, Progressive Interstitial, of Sheep;C02.782.815.616.660
Simian Acquired Immunodeficiency Syndrome;C02.782.815.616.850
Visna;C02.782.815.616.900
Leukemia, Feline;C02.782.815.622
Murine Acquired Immunodeficiency Syndrome;C02.782.815.650
Pulmonary Adenomatosis, Ovine;C02.782.815.725
Sarcoma, Avian;C02.782.815.800
Togaviridae Infections;C02.782.930
Alphavirus Infections;C02.782.930.100
Chikungunya Fever;C02.782.930.100.184
Encephalomyelitis, Equine;C02.782.930.100.370
Encephalomyelitis, Eastern Equine;C02.782.930.100.370.162
Encephalomyelitis, Venezuelan Equine;C02.782.930.100.370.325
Encephalomyelitis, Western Equine;C02.782.930.100.370.662
Rubivirus Infections;C02.782.930.700
Rubella;C02.782.930.700.700
Rubella Syndrome, Congenital;C02.782.930.700.700.700
Sexually Transmitted Diseases;C02.800
Sexually Transmitted Diseases, Viral;C02.800.801
Condylomata Acuminata;C02.800.801.220
Buschke-Lowenstein Tumor;C02.800.801.220.500
Herpes Genitalis;C02.800.801.350
HIV Infections;C02.800.801.400
Acquired Immunodeficiency Syndrome;C02.800.801.400.040
AIDS Arteritis, Central Nervous System;C02.800.801.400.048
AIDS-Associated Nephropathy;C02.800.801.400.050
AIDS Dementia Complex;C02.800.801.400.070
AIDS-Related Complex;C02.800.801.400.080
HIV-Associated Lipodystrophy Syndrome;C02.800.801.400.400
HIV Enteropathy;C02.800.801.400.480
HIV Seropositivity;C02.800.801.400.500
HIV Wasting Syndrome;C02.800.801.400.520
Skin Diseases, Viral;C02.825
Erythema Infectiosum;C02.825.260
Exanthema Subitum;C02.825.290
Herpes Simplex;C02.825.320
Herpes Labialis;C02.825.320.320
Kaposi Varicelliform Eruption;C02.825.320.410
Molluscum Contagiosum;C02.825.550
Warts;C02.825.810
Condylomata Acuminata;C02.825.810.110
Buschke-Lowenstein Tumor;C02.825.810.110.500
Epidermodysplasia Verruciformis;C02.825.810.260
Slow Virus Diseases;C02.839
Acquired Immunodeficiency Syndrome;C02.839.040
AIDS-Related Complex;C02.839.080
Aleutian Mink Disease;C02.839.091
Equine Infectious Anemia;C02.839.375
Feline Acquired Immunodeficiency Syndrome;C02.839.400
Leukoencephalopathy, Progressive Multifocal;C02.839.550
Pneumonia, Progressive Interstitial, of Sheep;C02.839.660
Simian Acquired Immunodeficiency Syndrome;C02.839.850
Subacute Sclerosing Panencephalitis;C02.839.862
Visna;C02.839.900
Tumor Virus Infections;C02.928
Avian Leukosis;C02.928.120
Carcinoma, Merkel Cell;C02.928.216
Epstein-Barr Virus Infections;C02.928.313
Burkitt Lymphoma;C02.928.313.165
Marek Disease;C02.928.489
Murine Acquired Immunodeficiency Syndrome;C02.928.650
Papillomavirus Infections;C02.928.725
Pulmonary Adenomatosis, Ovine;C02.928.740
Sarcoma, Avian;C02.928.800
Warts;C02.928.914
Condylomata Acuminata;C02.928.914.217
Buschke-Lowenstein Tumor;C02.928.914.217.500
Epidermodysplasia Verruciformis;C02.928.914.345
Viremia;C02.937
Zoonoses;C02.968
Parasitic Diseases;C03
Central Nervous System Parasitic Infections;C03.105
Central Nervous System Helminthiasis;C03.105.250
Neurocysticercosis;C03.105.250.550
Neuroschistosomiasis;C03.105.250.600
Central Nervous System Protozoal Infections;C03.105.300
Malaria, Cerebral;C03.105.300.500
Toxoplasmosis, Cerebral;C03.105.300.800
Coinfection;C03.202
Eye Infections, Parasitic;C03.300
Acanthamoeba Keratitis;C03.300.125
Onchocerciasis, Ocular;C03.300.562
Toxoplasmosis, Ocular;C03.300.781
Helminthiasis;C03.335
Cestode Infections;C03.335.190
Diphyllobothriasis;C03.335.190.304
Sparganosis;C03.335.190.304.780
Echinococcosis;C03.335.190.396
Echinococcosis, Hepatic;C03.335.190.396.314
Echinococcosis, Pulmonary;C03.335.190.396.480
Hymenolepiasis;C03.335.190.519
Monieziasis;C03.335.190.628
Taeniasis;C03.335.190.902
Cysticercosis;C03.335.190.902.185
Neurocysticercosis;C03.335.190.902.185.550
Helminthiasis, Animal;C03.335.349
Dictyocaulus Infections;C03.335.349.315
Dirofilariasis;C03.335.349.320
Fascioloidiasis;C03.335.349.444
Monieziasis;C03.335.349.656
Setariasis;C03.335.349.820
Strongyle Infections, Equine;C03.335.349.840
Toxocariasis;C03.335.349.868
Nematode Infections;C03.335.508
Adenophorea Infections;C03.335.508.100
Enoplida Infections;C03.335.508.100.275
Trichinellosis;C03.335.508.100.275.882
Trichuriasis;C03.335.508.100.275.895
Larva Migrans;C03.335.508.523
Larva Migrans, Visceral;C03.335.508.523.780
Secernentea Infections;C03.335.508.700
Ascaridida Infections;C03.335.508.700.100
Anisakiasis;C03.335.508.700.100.060
Ascariasis;C03.335.508.700.100.070
Ascaridiasis;C03.335.508.700.100.080
Toxascariasis;C03.335.508.700.100.850
Toxocariasis;C03.335.508.700.100.868
Larva Migrans, Visceral;C03.335.508.700.100.868.420
Oxyurida Infections;C03.335.508.700.550
Oxyuriasis;C03.335.508.700.550.550
Enterobiasis;C03.335.508.700.550.550.375
Rhabditida Infections;C03.335.508.700.700
Strongyloidiasis;C03.335.508.700.700.799
Spirurida Infections;C03.335.508.700.750
Dracunculiasis;C03.335.508.700.750.299
Filariasis;C03.335.508.700.750.361
Acanthocheilonemiasis;C03.335.508.700.750.361.137
Dipetalonema Infections;C03.335.508.700.750.361.275
Dirofilariasis;C03.335.508.700.750.361.290
Elephantiasis, Filarial;C03.335.508.700.750.361.350
Loiasis;C03.335.508.700.750.361.518
Mansonelliasis;C03.335.508.700.750.361.588
Onchocerciasis;C03.335.508.700.750.361.699
Onchocerciasis, Ocular;C03.335.508.700.750.361.699.500
Setariasis;C03.335.508.700.750.361.852
Gnathostomiasis;C03.335.508.700.750.380
Strongylida Infections;C03.335.508.700.775
Hookworm Infections;C03.335.508.700.775.455
Ancylostomiasis;C03.335.508.700.775.455.154
Necatoriasis;C03.335.508.700.775.455.683
Oesophagostomiasis;C03.335.508.700.775.583
Strongyle Infections, Equine;C03.335.508.700.775.773
Trichostrongyloidiasis;C03.335.508.700.775.825
Dictyocaulus Infections;C03.335.508.700.775.825.315
Haemonchiasis;C03.335.508.700.775.825.400
Ostertagiasis;C03.335.508.700.775.825.580
Trichostrongylosis;C03.335.508.700.775.825.842
Trematode Infections;C03.335.865
Clonorchiasis;C03.335.865.148
Dicrocoeliasis;C03.335.865.224
Echinostomiasis;C03.335.865.282
Fascioliasis;C03.335.865.354
Fascioloidiasis;C03.335.865.399
Opisthorchiasis;C03.335.865.685
Paragonimiasis;C03.335.865.741
Schistosomiasis;C03.335.865.859
Neuroschistosomiasis;C03.335.865.859.213
Schistosomiasis haematobia;C03.335.865.859.427
Schistosomiasis japonica;C03.335.865.859.521
Schistosomiasis mansoni;C03.335.865.859.576
Intestinal Diseases, Parasitic;C03.432
Anisakiasis;C03.432.060
Balantidiasis;C03.432.146
Blastocystis Infections;C03.432.250
Cryptosporidiosis;C03.432.269
Dientamoebiasis;C03.432.275
Dysentery, Amebic;C03.432.396
Giardiasis;C03.432.481
Liver Diseases, Parasitic;C03.518
Echinococcosis, Hepatic;C03.518.314
Fascioliasis;C03.518.424
Liver Abscess, Amebic;C03.518.600
Lung Diseases, Parasitic;C03.582
Echinococcosis, Pulmonary;C03.582.314
Mesomycetozoea Infections;C03.600
Rhinosporidiosis;C03.600.700
Opportunistic Infections;C03.684
AIDS-Related Opportunistic Infections;C03.684.050
Superinfection;C03.684.880
Parasitemia;C03.695
Parasitic Diseases, Animal;C03.701
Babesiosis;C03.701.188
Helminthiasis, Animal;C03.701.377
Dictyocaulus Infections;C03.701.377.315
Dirofilariasis;C03.701.377.320
Fascioloidiasis;C03.701.377.444
Monieziasis;C03.701.377.656
Setariasis;C03.701.377.820
Strongyle Infections, Equine;C03.701.377.840
Toxocariasis;C03.701.377.868
Protozoan Infections, Animal;C03.701.688
Babesiosis;C03.701.688.122
Cryptosporidiosis;C03.701.688.235
Dourine;C03.701.688.367
Theileriasis;C03.701.688.735
Toxoplasmosis, Animal;C03.701.688.817
Trypanosomiasis, Bovine;C03.701.688.896
Pregnancy Complications, Parasitic;C03.718
Protozoan Infections;C03.752
Amebiasis;C03.752.049
Acanthamoeba Keratitis;C03.752.049.203
Blastocystis Infections;C03.752.049.250
Dysentery, Amebic;C03.752.049.328
Entamoebiasis;C03.752.049.407
Liver Abscess, Amebic;C03.752.049.703
Central Nervous System Protozoal Infections;C03.752.100
Ciliophora Infections;C03.752.200
Balantidiasis;C03.752.200.146
Coccidiosis;C03.752.250
Cryptosporidiosis;C03.752.250.269
Cyclosporiasis;C03.752.250.280
Isosporiasis;C03.752.250.410
Sarcocystosis;C03.752.250.634
Toxoplasmosis;C03.752.250.800
Toxoplasmosis, Animal;C03.752.250.800.110
Toxoplasmosis, Cerebral;C03.752.250.800.250
Toxoplasmosis, Congenital;C03.752.250.800.445
Toxoplasmosis, Ocular;C03.752.250.800.640
Dientamoebiasis;C03.752.275
Euglenozoa Infections;C03.752.300
Dourine;C03.752.300.200
Leishmaniasis;C03.752.300.500
Leishmaniasis, Cutaneous;C03.752.300.500.400
Leishmaniasis, Diffuse Cutaneous;C03.752.300.500.400.350
Leishmaniasis, Mucocutaneous;C03.752.300.500.400.385
Leishmaniasis, Visceral;C03.752.300.500.510
Trypanosomiasis;C03.752.300.900
Chagas Disease;C03.752.300.900.200
Chagas Cardiomyopathy;C03.752.300.900.200.190
Dourine;C03.752.300.900.226
Trypanosomiasis, African;C03.752.300.900.719
Trypanosomiasis, Bovine;C03.752.300.900.802
Giardiasis;C03.752.400
Malaria;C03.752.530
Malaria, Avian;C03.752.530.606
Malaria, Cerebral;C03.752.530.620
Malaria, Falciparum;C03.752.530.650
Blackwater Fever;C03.752.530.650.228
Malaria, Cerebral;C03.752.530.650.675
Malaria, Vivax;C03.752.530.700
Protozoan Infections, Animal;C03.752.625
Babesiosis;C03.752.625.122
Cryptosporidiosis;C03.752.625.235
Dourine;C03.752.625.367
Theileriasis;C03.752.625.735
Toxoplasmosis, Animal;C03.752.625.817
Trypanosomiasis, Bovine;C03.752.625.896
Tick-Borne Diseases;C03.752.875
Babesiosis;C03.752.875.175
Theileriasis;C03.752.875.850
Trichomonas Infections;C03.752.890
Trichomonas Vaginitis;C03.752.890.633
Skin Diseases, Parasitic;C03.858
Ectoparasitic Infestations;C03.858.211
Flea Infestations;C03.858.211.250
Tungiasis;C03.858.211.250.800
Lice Infestations;C03.858.211.465
Mite Infestations;C03.858.211.480
Scabies;C03.858.211.480.708
Trombiculiasis;C03.858.211.480.869
Myiasis;C03.858.211.503
Hypodermyiasis;C03.858.211.503.398
Screw Worm Infection;C03.858.211.503.744
Tick Infestations;C03.858.211.857
Larva Migrans;C03.858.424
Leishmaniasis;C03.858.560
Leishmaniasis, Cutaneous;C03.858.560.400
Leishmaniasis, Diffuse Cutaneous;C03.858.560.400.350
Leishmaniasis, Mucocutaneous;C03.858.560.400.385
Onchocerciasis;C03.858.650
Zoonoses;C03.908
Pythiosis;C03.908.650
Neoplasms;C04
Cysts;C04.182
Arachnoid Cysts;C04.182.044
Bone Cysts;C04.182.089
Bone Cysts, Aneurysmal;C04.182.089.265
Jaw Cysts;C04.182.089.530
Nonodontogenic Cysts;C04.182.089.530.660
Odontogenic Cysts;C04.182.089.530.690
Basal Cell Nevus Syndrome;C04.182.089.530.690.150
Dentigerous Cyst;C04.182.089.530.690.310
Odontogenic Cyst, Calcifying;C04.182.089.530.690.605
Periodontal Cyst;C04.182.089.530.690.790
Radicular Cyst;C04.182.089.530.690.790.820
Branchioma;C04.182.117
Breast Cyst;C04.182.156
Bronchogenic Cyst;C04.182.195
Chalazion;C04.182.197
Choledochal Cyst;C04.182.198
Colloid Cysts;C04.182.199
Dermoid Cyst;C04.182.201
Epidermal Cyst;C04.182.254
Esophageal Cyst;C04.182.281
Follicular Cyst;C04.182.300
Ganglion Cysts;C04.182.347
Lymphocele;C04.182.430
Mediastinal Cyst;C04.182.444
Mesenteric Cyst;C04.182.473
Mucocele;C04.182.511
Ovarian Cysts;C04.182.612
